epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,548.55,0.69937,4.62479,0.29786,0.44178,1.11025,0.96928,0.96883,0.99054,0.85652,0.80603,0.67794,0.69783,0.43666,0.70027,3.56353,0.09075,0.36379,1.07169,0.000515,0.000515,0.000515
77,555.664,0.68898,4.50014,0.29275,0.45023,1.11343,0.9612,0.97889,0.99057,0.85444,0.82291,0.6833,0.71196,0.45044,0.68201,3.48046,0.08382,0.35461,1.05814,0.0004952,0.0004952,0.0004952
78,562.769,0.6939,4.45663,0.29605,0.43595,1.11611,0.95709,0.97313,0.98874,0.85553,0.78632,0.69218,0.71901,0.46299,0.68869,3.47621,0.09669,0.35635,1.06662,0.0004754,0.0004754,0.0004754
79,569.857,0.69496,4.45088,0.29253,0.44227,1.11839,0.96205,0.97328,0.99018,0.85999,0.81733,0.68714,0.72409,0.45916,0.67607,3.42503,0.087,0.34616,1.05546,0.0004556,0.0004556,0.0004556
80,576.984,0.67218,4.38958,0.29693,0.42485,1.111,0.96394,0.97485,0.98882,0.86054,0.80805,0.67179,0.71569,0.46238,0.6639,3.39754,0.08953,0.34982,1.05086,0.0004358,0.0004358,0.0004358
81,584.089,0.67169,4.42366,0.29377,0.42262,1.09974,0.9733,0.97951,0.99034,0.85933,0.83682,0.68522,0.73953,0.47776,0.67915,3.39775,0.08567,0.35077,1.06499,0.000416,0.000416,0.000416
82,591.207,0.6905,4.39024,0.28492,0.4247,1.11765,0.96666,0.97313,0.98944,0.86423,0.81148,0.67562,0.7163,0.45967,0.67129,3.44243,0.08495,0.34508,1.05917,0.0003962,0.0003962,0.0003962
83,598.307,0.66735,4.32649,0.29253,0.43042,1.10487,0.96941,0.97121,0.98918,0.86478,0.82423,0.69305,0.73694,0.48191,0.68609,3.36243,0.08369,0.34233,1.0668,0.0003764,0.0003764,0.0003764
84,605.414,0.66202,4.24047,0.28339,0.4128,1.09063,0.9683,0.97121,0.9907,0.86476,0.81732,0.6929,0.73126,0.4717,0.66878,3.35358,0.08413,0.33823,1.05115,0.0003566,0.0003566,0.0003566
85,612.486,0.63517,4.1729,0.29439,0.4055,1.0881,0.97131,0.97461,0.98939,0.86944,0.82343,0.68714,0.74402,0.48562,0.65165,3.36607,0.09025,0.33703,1.04089,0.0003368,0.0003368,0.0003368
86,619.619,0.65691,4.22527,0.2907,0.41418,1.09323,0.9695,0.97604,0.99103,0.86955,0.82674,0.69098,0.73894,0.48341,0.65095,3.31844,0.08444,0.33937,1.04036,0.000317,0.000317,0.000317
87,626.718,0.65197,4.22726,0.29225,0.41245,1.08966,0.96581,0.97585,0.99071,0.87016,0.81583,0.68138,0.72958,0.48437,0.66025,3.36119,0.08645,0.33578,1.04398,0.0002972,0.0002972,0.0002972
88,633.843,0.65385,4.18756,0.28416,0.41547,1.09119,0.96934,0.97505,0.98988,0.86793,0.81281,0.68906,0.72563,0.47675,0.65317,3.32775,0.09567,0.33951,1.04266,0.0002774,0.0002774,0.0002774
89,640.959,0.64857,4.16072,0.28648,0.41142,1.09169,0.97216,0.97505,0.99071,0.86357,0.80253,0.69866,0.73504,0.48564,0.65749,3.32155,0.08801,0.33322,1.04299,0.0002576,0.0002576,0.0002576
90,648.112,0.63924,4.21505,0.28762,0.40813,1.09047,0.9586,0.97786,0.9901,0.87177,0.81266,0.70774,0.75041,0.49095,0.65409,3.28075,0.08473,0.33541,1.04184,0.0002378,0.0002378,0.0002378
91,655.691,0.54245,3.3102,0.11857,0.3089,1.03637,0.96006,0.96883,0.98936,0.86073,0.80075,0.70967,0.72547,0.47555,0.6617,3.32838,0.06811,0.33476,1.0486,0.000218,0.000218,0.000218
92,662.805,0.53417,3.24786,0.11098,0.30405,1.03016,0.96093,0.97889,0.99115,0.86859,0.83089,0.69866,0.73737,0.49053,0.64852,3.27614,0.06198,0.32873,1.03877,0.0001982,0.0001982,0.0001982
93,669.9,0.52897,3.23006,0.10743,0.29987,1.02707,0.9679,0.97121,0.98999,0.86805,0.83397,0.68714,0.73764,0.48701,0.65831,3.3301,0.0609,0.33058,1.03933,0.0001784,0.0001784,0.0001784
94,676.998,0.51116,3.21696,0.10225,0.28679,1.02102,0.96884,0.97697,0.99073,0.8742,0.81545,0.7124,0.74703,0.4994,0.64935,3.27299,0.05891,0.32057,1.03466,0.0001586,0.0001586,0.0001586
95,684.1,0.51069,3.19263,0.10707,0.28876,1.0157,0.97081,0.97313,0.99107,0.87316,0.82393,0.70441,0.74713,0.50135,0.64135,3.23933,0.05612,0.32379,1.0312,0.0001388,0.0001388,0.0001388
96,691.212,0.49982,3.14578,0.107,0.28405,1.02016,0.9653,0.97313,0.99038,0.87552,0.82926,0.71785,0.75087,0.50465,0.64603,3.20859,0.05359,0.32118,1.03211,0.000119,0.000119,0.000119
97,698.34,0.49633,3.14223,0.10776,0.2825,1.01542,0.97118,0.96737,0.99113,0.87586,0.81757,0.72256,0.75843,0.51083,0.63849,3.20876,0.05334,0.3202,1.02678,9.92e-05,9.92e-05,9.92e-05
98,705.467,0.49343,3.08159,0.09951,0.28027,1.00106,0.96771,0.97795,0.99134,0.87904,0.81861,0.71896,0.75606,0.51322,0.63573,3.19727,0.05255,0.31108,1.02676,7.94e-05,7.94e-05,7.94e-05
99,712.562,0.49377,3.04538,0.0972,0.28164,0.99946,0.97133,0.97697,0.99139,0.87728,0.81818,0.70823,0.75589,0.51674,0.64714,3.21009,0.0535,0.31032,1.0333,5.96e-05,5.96e-05,5.96e-05
100,719.692,0.49123,3.05801,0.09532,0.27686,1.0051,0.97309,0.97181,0.99126,0.87895,0.81017,0.71269,0.75346,0.51405,0.63949,3.19379,0.05136,0.31052,1.02755,3.98e-05,3.98e-05,3.98e-05
