epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
64,361.696,0.37981,8.24464,0,0.25657,0.93204,0.96771,0.99894,0.99434,0.9492,0,0,0,0,0.35814,6.66844,0,0.21571,0.86803,0.0022578,0.0007526,0.0022578,0.0007526,0.0022578,0.0007526,0.0022578,0.0007526
65,367.175,0.36435,8.15449,0,0.25208,0.93697,0.99202,0.98333,0.99468,0.94846,0.01688,0.01667,0.00759,0.00076,0.35707,6.62918,0,0.20056,0.88276,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328
66,372.786,0.37638,8.13321,0,0.26224,0.93888,0.99249,0.98333,0.99468,0.94587,0.01688,0.01667,0.0097,0.00097,0.35166,6.60311,0,0.20119,0.88375,0.002139,0.000713,0.002139,0.000713,0.002139,0.000713,0.002139,0.000713
67,378.132,0.34846,8.1815,0,0.24782,0.9181,0.99292,0.98333,0.99468,0.95329,0.01691,0.01667,0.0194,0.00194,0.34831,6.59481,0,0.18858,0.86506,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932
68,383.685,0.38067,8.14051,0,0.25952,0.94211,0.98982,0.98333,0.99468,0.95705,0,0,0,0,0.3425,6.65185,0,0.20146,0.85926,0.0020202,0.0006734,0.0020202,0.0006734,0.0020202,0.0006734,0.0020202,0.0006734
69,389.024,0.37524,8.15971,0,0.26378,0.93809,0.99226,0.98333,0.99468,0.95783,0.01689,0.01667,0.00686,0.00069,0.33857,6.54919,0,0.19721,0.85791,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536
70,394.541,0.36029,8.08236,0,0.24518,0.93042,0.99334,0.98333,0.99468,0.95996,0.01689,0.01667,0.00684,0.00068,0.33455,6.64822,0,0.19473,0.85774,0.0019014,0.0006338,0.0019014,0.0006338,0.0019014,0.0006338,0.0019014,0.0006338
71,400.004,0.36477,8.11599,0,0.25154,0.93336,0.99179,0.98333,0.99452,0.95554,0.01687,0.01667,0.00636,0.00064,0.34355,6.58774,0,0.20389,0.86001,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614
72,405.567,0.36005,8.01469,0,0.25151,0.93067,0.98178,0.98333,0.99468,0.95685,0,0,0,0,0.34164,6.57443,0,0.20899,0.85936,0.0017826,0.0005942,0.0017826,0.0005942,0.0017826,0.0005942,0.0017826,0.0005942
73,410.925,0.35256,8.04648,0,0.24052,0.92212,0.96677,1,0.99468,0.95463,0,0,0,0,0.34259,6.48014,0,0.21739,0.86663,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744
74,416.465,0.3607,7.96937,0,0.24289,0.92067,0.96771,0.99913,0.99434,0.9547,0.01666,0.01667,0.00669,0.00067,0.3385,6.5118,0,0.20044,0.86639,0.0016638,0.0005546,0.0016638,0.0005546,0.0016638,0.0005546,0.0016638,0.0005546
75,421.777,0.34205,7.89259,0,0.23734,0.91472,0.9677,0.99868,0.99434,0.95561,0,0,0,0,0.34051,6.52853,0,0.19965,0.86807,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348
76,427.361,0.33724,7.89293,0,0.23474,0.92372,0.9875,0.98333,0.99452,0.9518,0,0,0,0,0.34292,6.44249,0,0.19283,0.87183,0.001545,0.000515,0.001545,0.000515,0.001545,0.000515,0.001545,0.000515
77,432.765,0.34137,7.84775,0,0.233,0.92361,0.99253,0.98333,0.99452,0.94958,0,0,0,0,0.34735,6.47303,0,0.1937,0.87785,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952
78,438.355,0.33514,7.81591,0,0.23735,0.91369,0.99738,0.98333,0.99452,0.95427,0.03421,0.03333,0.0139,0.00139,0.34404,6.40612,0,0.20086,0.87459,0.0014262,0.0004754,0.0014262,0.0004754,0.0014262,0.0004754,0.0014262,0.0004754
79,443.777,0.3622,7.93549,0,0.25031,0.93374,0.98391,0.98333,0.99452,0.95677,0.03407,0.03333,0.01913,0.00191,0.34583,6.42669,0,0.19615,0.87483,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556
80,449.369,0.35696,7.88966,0,0.24622,0.92149,0.96771,0.99913,0.99468,0.95433,0.01684,0.01667,0.00534,0.00053,0.34273,6.5063,0,0.1953,0.87316,0.0013074,0.0004358,0.0013074,0.0004358,0.0013074,0.0004358,0.0013074,0.0004358
81,454.77,0.35154,7.9469,0,0.2571,0.93217,0.96771,0.99908,0.99468,0.9544,0.03357,0.03333,0.014,0.0014,0.33958,6.37049,0,0.19574,0.86697,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
82,460.333,0.34628,7.87433,0,0.2337,0.92518,0.97347,0.98333,0.99452,0.95202,0.05023,0.05,0.01821,0.00182,0.33882,6.43711,0,0.21004,0.86541,0.0011886,0.0003962,0.0011886,0.0003962,0.0011886,0.0003962,0.0011886,0.0003962
83,465.72,0.34393,7.83926,0,0.23716,0.91775,0.97846,0.98333,0.99437,0.94411,0.08432,0.08333,0.04083,0.00408,0.33462,6.36023,0,0.20925,0.85979,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764
84,471.356,0.36203,7.81785,0,0.25391,0.93024,0.98056,0.98333,0.99423,0.94483,0.08523,0.08333,0.03731,0.00373,0.33556,6.35534,0,0.20587,0.86182,0.0010698,0.0003566,0.0010698,0.0003566,0.0010698,0.0003566,0.0010698,0.0003566
85,476.717,0.34415,7.80187,0,0.2384,0.92509,0.98131,0.98333,0.99404,0.94553,0.06823,0.06667,0.0352,0.00352,0.34879,6.39621,0,0.20775,0.87802,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368
86,482.27,0.34626,7.75777,0,0.23986,0.92348,0.97944,0.98333,0.99404,0.9499,0.05,0.05,0.01922,0.00192,0.33749,6.32766,0,0.21406,0.86549,0.000951,0.000317,0.000951,0.000317,0.000951,0.000317,0.000951,0.000317
